No.,Area,Total
1,Kigogo,45291
2,Mzimuni,20940
3,Magomeni,15241
4,Ndugumbi,32862
5,Tandale,43374
6,Kijitonyama,39932
7,Kinondoni,17337
8,Hananasif,27615
9,Mwananyamala,38645
10,Makumbusho,52347
11,Makongo,35567
12,Mbezi Juu,51485
13,Wazo,153013
14,Mabwepande,66794
15,Bunju,92587
16,Mbweni,25970
17,Kunduchi,89814
18,Kawe,67675
19,Mikocheni,25433
20,Msasani,40406
21,Kariakoo,10246
22,Jangwani,13793
23,Gerezani,5786
24,Kisutu,6364
25,Mchafukoge,7999
26,Upanga Mashariki,9317
27,Upanga Magharibi,11845
28,Kivukoni,4045
29,Ilala,23787
30,Mchikichini,19076
31,Vingunguti,66342
32,Kipawa,72577
33,Buguruni,47278
34,Kiwalani,40049
35,Mnyamani,37516
36,Minazi Mirefu,27635
37,Tabata,59555
38,Kinyerezi,62480
39,Segerea,44831
40,Kimanga,50340
41,Liwiti,40399
42,Bonyokwa,26516
43,Kisukuru,40279
44,Ukonga,84184
45,Pugu,60369
46,Msongola,94923
47,Kitunda,42259
48,Chanika,75271
49,Kivule,88273
50,Gongolamboto,63043
51,Majohe,115118
52,Zingiziwa,73334
53,Buyuni,86484
54,Pugu Station,47436
55,Mzinga,45989
56,Kipunguni,45174
57,Miburani,29351
58,Azimio,63836
59,Tandika,39340
60,Sandali,42010
61,Temeke,21752
62,Chang'ombe,14418
63,Keko,26427
64,Kurasini,8852
65,Mtoni,44713
66,Buza,71190
67,Makangarawe,50872
68,Yombo Vituka,77082
69,Kilakala,37711
70,Kijichi,69085
71,Mbagala Kuu,74925
72,Toangoma,127234
73,Mianzini,72630
74,Kibondemaji,43351
75,Chamazi,203327
76,Kilungule,70420
77,Charambe,38587
78,Mbagala,46217
79,Kiburugwa,73344
80,Kigamboni,24810
81,Tungi,30785
82,Mjimwema,54859
83,Kibada,28188
84,Vijibweni,71861
85,Kimbiji,10729
86,Pembamnazi,13323
87,Somangila,52187
88,Kisarawe II,31160
89,Ubungo,44340
90,Sinza,31396
91,Manzese,62251
92,Makurumla,50677
93,Mburahati,26215
94,Mabibo,74887
95,Makuburi,50866
96,Kimara,96995
97,Saranga,145274
98,Msigani,82988
99,Kwembe,93457
100,Kibamba,43191
101,Mbezi,143803
102,Goba,140572